## Last Updated: 2023-01-25 04:53:16 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Krush, Irina","12543137","NY","USA",2515,2515,"","2515 => 2515","2022-10-19202210208092","2022 U.S. WOMENS CHAMPIONSHIP (MO)1: ROUND ROBIN"
"2","Yip, Carissa Shiwen","14514636","MA","USA",2471,2453,"(-18)","2435 => 2453","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"3","Wang, Annie","13919214","CA","USA",2450,2450,"","2458 => 2450","2022-11-27202211271022","3RD_BOSTON_ELITE_THANKSGIVING_OPEN_ (MA)1: 1_PREMIER__FIDE_"
"5","Tokhirjonova, Gulrukhbegim","17140065","MO","USA",2411,2417,"(+6)","2411 => 2417","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"7","Zatonskih, Anna","12873912","NW","USA",2406,2405,"(-1)","2406 => 2405","2022-12-04202212044652","BELGIAN INTERCLUBS 2022-23 ROUND 5 (BEL)1: BELGIAN INTERCLUBS 2022-23 ROUND 5"
"11","Lee, Alice Teresa","16059648","MN","USA",2379,2405,"(+26)","2398 => 2405","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)4: IM D"
"4","Yu, Jennifer R","14117950","VA","USA",2432,2403,"(-29)","2417 => 2403","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)2: GM B"
"6","Abrahamyan, Tatev","12851435","MO","USA",2408,2400,"(-8)","2408 => 2400","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"8","Nemcova, Katerina","14723368","AZ","USA",2397,2397,"","2406 => 2397","2022-04-28202204283442","THE AMERICAN CUP 2022 (MO)4: WOMEN'S - ELIMINATION BRACKET"
"9","Paikidze, Nazi","14995723","NV","USA",2390,2390,"","2390 => 2390","2022-12-03202212033772","Bridgeopolis Elite Tournament 221203 (NV)1: SECTION ONE"
"10","Cervantes, Thalia","15470615","MO","USA",2388,2366,"(-22)","2360 => 2366","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"13","Eswaran, Ashritha","14044705","CA","USA",2358,2358,"","2400 => 2358","2022-10-19202210208092","2022 U.S. WOMENS CHAMPIONSHIP (MO)1: ROUND ROBIN"
"15","Wu, Rochelle","14901590","CA","USA",2348,2354,"(+6)","2348 => 2354","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"14","Lee, Megan","12902833","WA","USA",2351,2351,"","2332 => 2351","2022-10-19202210208092","2022 U.S. WOMENS CHAMPIONSHIP (MO)1: ROUND ROBIN"
"12","Yan, Ruiyang","15462690","CA","USA",2362,2345,"(-17)","2342 => 2345","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
