## Last Updated: 2023-01-25 04:52:32 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Nakamura, Hikaru","12641216","NY","USA",2855,2855,"","2861 => 2855","2022-08-28202208302822","2022 GCT SAINT LOUIS RAPID AND BLITZ (MO)1: RAPID"
"2","Caruana, Fabiano","12743305","FL","USA",2835,2835,"","2828 => 2835","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"3","So, Wesley","13145890","MN","USA",2829,2829,"","2845 => 2829","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"4","Dominguez Perez, Leinier","14744935","MO","USA",2811,2811,"","2814 => 2811","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"5","Aronian, Levon","15218444","MO","USA",2805,2805,"","2830 => 2805","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"6","Shankland, Sam","12852765","CA","USA",2787,2787,"","2790 => 2787","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"7","Robson, Ray","12847250","MO","USA",2784,2784,"","2770 => 2784","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"9","Niemann, Hans","15041466","CT","USA",2770,2781,"(+11)","2767 => 2781","2022-12-22202212224582","9TH CHESSABLE SUNWAY GROUP A (ESP)1: 9TH CHESSABLE SUNWAY GROUP A"
"8","Xiong, Jeffery","13648621","TX","USA",2774,2774,"","2773 => 2774","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"10","Sevian, Samuel","13493815","MA","USA",2766,2766,"","2762 => 2766","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"11","Kamsky, Gata","12528459",NA,"USA",2736,2740,"(+4)","2736 => 2740","2022-12-11202212114442","NATIONAL TEAM 2 ROUND 4 (FRA)1: NATIONAL TEAM 2 ROUND 4"
"13","Liang, Awonder","13999045","WI","USA",2719,2737,"(+18)","2735 => 2737","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"12","Swiercz, Dariusz","16113717","MO","USA",2722,2722,"","2730 => 2722","2022-10-19202210197842","2022 U.S. CHAMPIONSHIP (MO)1: ROUND ROBIN"
"15","Onischuk, Alexander","12625186","TX","USA",2708,2708,"","2720 => 2708","2021-08-05202108050892","WORLD CUP 2021 (RUS)1: WORLD CUP 2021"
"14","Naroditsky, Daniel A","12892910","NC","USA",2711,2705,"(-6)","2711 => 2705","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"16","Zherebukh, Yaroslav","15105277","IL","USA",2695,2695,"","2695 => 2695","2022-12-11202212118352","CHICAGO CHESS CENTER 5TH JANE ADDAM (IL)1: HULL HOUSE OPEN"
"17","Izoria, Zviad","12922861","CA","USA",2694,2694,"","2697 => 2694","2019-12-30201912304962","29TH ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"18","Akopian, Vladimir","12561112","CA","USA",2691,2691,"","2698 => 2691","2022-09-05202209056862","22ND DUBAI OPEN (UAE)1: 22ND DUBAI OPEN"
"19","Gareyev, Timur","13262157","KS","USA",2686,2686,"","2683 => 2686","2022-05-30202205309012","31ST CHICAGO OPEN (IL)1: OPEN"
"22","Yoo, Christopher Woojin","15244943","CA","USA",2675,2682,"(+7)","2675 => 2682","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"21","Hess, Robert L","12749774","NY","USA",2677,2677,"","2667 => 2677","2019-10-21201910215692","FIDE CHESS.COM GRAND SWISS (ENG)1: FIDE CHESS.COM GRAND SWISS"
"20","Bruzon Batista, Lazaro","15199286","MO","USA",2681,2672,"(-9)","2677 => 2672","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"25","Quesada Perez, Yuniesky","15197865","MO","USA",2656,2666,"(+10)","2658 => 2666","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
